address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
473 S Savannah St,Los Angeles,CA,90033,599000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/473-S-Savannah-St-Los-Angeles-CA-90033/20632792_zpid/
2747 Malabar St,Los Angeles,CA,90033,570000,NA,NA,NA,121,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2747-Malabar-St-Los-Angeles-CA-90033/20630225_zpid/
2424 Michigan Ave,Los Angeles,CA,90033,525000,NA,NA,NA,101,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2424-Michigan-Ave-Los-Angeles-CA-90033/20631764_zpid/
2857 Cincinnati St,Los Angeles,CA,90033,700000,NA,NA,NA,52,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2857-Cincinnati-St-Los-Angeles-CA-90033/20630920_zpid/
247 S State St,Los Angeles,CA,90033,1399000,NA,NA,NA,191,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/247-S-State-St-Los-Angeles-CA-90033/2096014471_zpid/
2826 E Cesar E Chavez Ave,Los Angeles,CA,90033,1588000,NA,NA,NA,54,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2826-E-Cesar-E-Chavez-Ave-Los-Angeles-CA-90033/2097005215_zpid/
1611 Murchison St,Los Angeles,CA,90033,995000,NA,NA,NA,200,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1611-Murchison-St-Los-Angeles-CA-90033/2105496365_zpid/
E 3rd St,Los Angeles,CA,90033,NA,NA,NA,NA,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135555160_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Pennsylvania Ave,Los Angeles,CA,90033,NA,NA,NA,NA,53,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135555194_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 1st St,Los Angeles,CA,90033,NA,NA,NA,NA,366,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581066_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
N Soto St,Los Angeles,CA,90033,NA,NA,NA,NA,359,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581119_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Sheridan St,Los Angeles,CA,90033,NA,NA,NA,NA,508,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135555135_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3237 Fay Ave,Los Angeles,CA,90034,5695000,NA,NA,NA,9,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3237-Fay-Ave-Los-Angeles-CA-90034/119676558_zpid/
1947 S Bedford St,Los Angeles,CA,90034,NA,NA,NA,NA,315,Auction,http://www.zillow.com/homes/for_sale//homedetails/1947-S-Bedford-St-Los-Angeles-CA-90034/20491325_zpid/
